2019-10-01 12:45:09 startup archives unpack
2019-10-01 12:45:10 upgrade libcom-err2:amd64 1.44.6-1 1.44.6-1ubuntu0.1
2019-10-01 12:45:10 status triggers-pending libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:10 status half-configured libcom-err2:amd64 1.44.6-1
2019-10-01 12:45:10 status unpacked libcom-err2:amd64 1.44.6-1
2019-10-01 12:45:10 status half-installed libcom-err2:amd64 1.44.6-1
2019-10-01 12:45:10 status unpacked libcom-err2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:10 startup packages configure
2019-10-01 12:45:10 configure libcom-err2:amd64 1.44.6-1ubuntu0.1 <ninguna>
2019-10-01 12:45:10 status unpacked libcom-err2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:10 status half-configured libcom-err2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:10 status installed libcom-err2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:10 trigproc libc-bin:amd64 2.29-0ubuntu2 <ninguna>
2019-10-01 12:45:10 status half-configured libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:10 status installed libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:19 startup archives unpack
2019-10-01 12:45:20 upgrade libss2:amd64 1.44.6-1 1.44.6-1ubuntu0.1
2019-10-01 12:45:20 status triggers-pending libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:20 status half-configured libss2:amd64 1.44.6-1
2019-10-01 12:45:20 status unpacked libss2:amd64 1.44.6-1
2019-10-01 12:45:20 status half-installed libss2:amd64 1.44.6-1
2019-10-01 12:45:20 status unpacked libss2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:20 startup packages configure
2019-10-01 12:45:20 configure libss2:amd64 1.44.6-1ubuntu0.1 <ninguna>
2019-10-01 12:45:20 status unpacked libss2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:20 status half-configured libss2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:20 status installed libss2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:20 trigproc libc-bin:amd64 2.29-0ubuntu2 <ninguna>
2019-10-01 12:45:20 status half-configured libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:20 status installed libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:26 startup archives unpack
2019-10-01 12:45:26 upgrade libext2fs2:amd64 1.44.6-1 1.44.6-1ubuntu0.1
2019-10-01 12:45:26 status triggers-pending libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:26 status half-configured libext2fs2:amd64 1.44.6-1
2019-10-01 12:45:26 status unpacked libext2fs2:amd64 1.44.6-1
2019-10-01 12:45:26 status half-installed libext2fs2:amd64 1.44.6-1
2019-10-01 12:45:27 status unpacked libext2fs2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 startup packages configure
2019-10-01 12:45:27 configure libext2fs2:amd64 1.44.6-1ubuntu0.1 <ninguna>
2019-10-01 12:45:27 status unpacked libext2fs2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 status half-configured libext2fs2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 status installed libext2fs2:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 startup archives unpack
2019-10-01 12:45:27 upgrade e2fsprogs:amd64 1.44.6-1 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 status half-configured e2fsprogs:amd64 1.44.6-1
2019-10-01 12:45:27 status unpacked e2fsprogs:amd64 1.44.6-1
2019-10-01 12:45:27 status half-installed e2fsprogs:amd64 1.44.6-1
2019-10-01 12:45:27 status triggers-pending man-db:amd64 2.8.5-2
2019-10-01 12:45:27 status unpacked e2fsprogs:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 startup packages configure
2019-10-01 12:45:27 configure e2fsprogs:amd64 1.44.6-1ubuntu0.1 <ninguna>
2019-10-01 12:45:27 status unpacked e2fsprogs:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 status half-configured e2fsprogs:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 status installed e2fsprogs:amd64 1.44.6-1ubuntu0.1
2019-10-01 12:45:27 status triggers-pending initramfs-tools:all 0.131ubuntu19.1
2019-10-01 12:45:28 trigproc libc-bin:amd64 2.29-0ubuntu2 <ninguna>
2019-10-01 12:45:28 status half-configured libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:28 status installed libc-bin:amd64 2.29-0ubuntu2
2019-10-01 12:45:28 trigproc man-db:amd64 2.8.5-2 <ninguna>
2019-10-01 12:45:28 status half-configured man-db:amd64 2.8.5-2
2019-10-01 12:45:31 status installed man-db:amd64 2.8.5-2
2019-10-01 12:45:31 trigproc initramfs-tools:all 0.131ubuntu19.1 <ninguna>
2019-10-01 12:45:31 status half-configured initramfs-tools:all 0.131ubuntu19.1
2019-10-01 12:45:53 status installed initramfs-tools:all 0.131ubuntu19.1
2019-10-04 14:09:31 startup archives unpack
2019-10-04 14:09:31 upgrade tzdata:all 2019b-0ubuntu0.19.04 2019c-0ubuntu0.19.04
2019-10-04 14:09:31 status half-configured tzdata:all 2019b-0ubuntu0.19.04
2019-10-04 14:09:31 status unpacked tzdata:all 2019b-0ubuntu0.19.04
2019-10-04 14:09:31 status half-installed tzdata:all 2019b-0ubuntu0.19.04
2019-10-04 14:09:32 status unpacked tzdata:all 2019c-0ubuntu0.19.04
2019-10-04 14:09:32 startup packages configure
2019-10-04 14:09:32 configure tzdata:all 2019c-0ubuntu0.19.04 <ninguna>
2019-10-04 14:09:32 status unpacked tzdata:all 2019c-0ubuntu0.19.04
2019-10-04 14:09:32 status half-configured tzdata:all 2019c-0ubuntu0.19.04
2019-10-04 14:09:32 status installed tzdata:all 2019c-0ubuntu0.19.04
2019-10-16 13:35:22 startup archives unpack
2019-10-16 13:35:22 upgrade firefox-locale-en:amd64 69.0.1+build1-0ubuntu0.19.04.1 69.0.2+build1-0ubuntu0.19.04.1
2019-10-16 13:35:22 status half-configured firefox-locale-en:amd64 69.0.1+build1-0ubuntu0.19.04.1
2019-10-16 13:35:22 status unpacked firefox-locale-en:amd64 69.0.1+build1-0ubuntu0.19.04.1
2019-10-16 13:35:22 status half-installed firefox-locale-en:amd64 69.0.1+build1-0ubuntu0.19.04.1
2019-10-16 13:35:23 status unpacked firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1
2019-10-16 13:35:23 startup packages configure
2019-10-16 13:35:23 configure firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1 <ninguna>
2019-10-16 13:35:23 status unpacked firefox-locale-en:amd64 69.0.2+build1-0ubuntu0.19.04.1
